Fukuroi; Population = 85163; Area = 108.56; Founded = 1958-11-03
Fukushima; Population = 289355; Area = 746.43; Founded = 1907-04-01
Fukutsu; Population = 55123; Area = 52.7; Founded = 2005-01-24
Fukuyama; Population = 461368; Area = 518.07; Founded = 1916-07-01
Funabashi; Population = 586762; Area = 85.64; Founded = 1937-04-01
Furano; Population = 23890; Area = 600.97; Founded = 1966-05-01
Fussa; Population = 60413; Area = 10.24; Founded = 1970-07-01
Futtsu; Population = 48973; Area = 205.35; Founded = 1971-09-01
GamagoriGamagori; Population = 82264; Area = 56.81; Founded = 1954-04-01
Gero; Population = 37455; Area = 851.06; Founded = 2004-03-01
Gifu; Population = 412779; Area = 202.89; Founded = 1889-07-01
Ginowan; Population = 91233; Area = 19.7; Founded = 1962-07-01
GoboGobo; Population = 26335; Area = 43.93; Founded = 1954-04-01
GojoGojo; Population = 36002; Area = 292.05; Founded = 1957-10-15
Gose; Population = 31160; Area = 60.58; Founded = 1958-03-31
Gosen; Population = 55936; Area = 351.87; Founded = 2006-01-01
Goshogawara; Population = 60788; Area = 404.58; Founded = 2005-03-28
Gotenba; Population = 88078; Area = 194.63; Founded = 1955-02-11
GotoGoto; Population = 42447; Area = 420.77; Founded = 2004-08-01
GotsuGotsu; Population = 26958; Area = 268.51; Founded = 1954-04-01
GujoGujo; Population = 46338; Area = 1030.79; Founded = 2004-03-01
GyodaGyoda; Population = 87462; Area = 67.37; Founded = 1949-05-03
Habikino; Population = 118281; Area = 26.44; Founded = 1959-01-15
Hachimantai; Population = 29993; Area = 862.25; Founded = 2005-09-01
Hachinohe; Population = 241613; Area = 305.17; Founded = 1929-05-01
HachiojiHachioji; Population = 567367; Area = 186.31; Founded = 1917-09-01
Hadano; Population = 169201; Area = 103.61; Founded = 1955-01-01
Hagi; Population = 55831; Area = 698.87; Founded = 2005-03-06
Hakodate; Population = 277056; Area = 677.89; Founded = 1922-08-01
Hakui; Population = 23963; Area = 81.96; Founded = 1958-07-01
Hakusan; Population = 110563; Area = 755.17; Founded = 2005-02-01
Hamada; Population = 61325; Area = 689.6; Founded = 2005-10-01
Hamamatsu; Population = 811431; Area = 1511.17; Founded = 1911-07-01
Hamura; Population = 56984; Area = 9.91; Founded = 1991-11-01
Hanamaki; Population = 103718; Area = 908.32; Founded = 2006-01-01
Handa; Population = 117927; Area = 47.24; Founded = 1937-10-01
Hannan; Population = 56853; Area = 36.1; Founded = 1991-10-01
HannoHanno; Population = 84053; Area = 193.16; Founded = 1954-01-01
HanyuHanyu; Population = 56820; Area = 58.55; Founded = 1954-09-01
Hashima; Population = 67167; Area = 53.64; Founded = 1954-04-01
Hashimoto; Population = 67505; Area = 130.31; Founded = 2006-03-01
Hasuda; Population = 63375; Area = 27.27; Founded = 1972-10-01
Hatsukaichi; Population = 115184; Area = 489.36; Founded = 1988-04-01
Hekinan; Population = 73024; Area = 35.86; Founded = 1948-04-05
Hida; Population = 28112; Area = 792.31; Founded = 2004-02-01
Hidaka; Population = 55454; Area = 47.5; Founded = 1991-10-01
Higashihiroshima; Population = 187711; Area = 635.32; Founded = 1974-04-20
Higashikagawa; Population = 34953; Area = 153.35; Founded = 2003-04-01
Higashikurume; Population = 115405; Area = 12.92; Founded = 1970-10-01
Higashimatsushima; Population = 43238; Area = 101.86; Founded = 2005-04-01
Higashimatsuyama; Population = 90840; Area = 65.33; Founded = 1954-07-01
Higashimurayama; Population = 146585; Area = 17.17; Founded = 1964-04-01
Higashine; Population = 46141; Area = 207.17; Founded = 1958-11-03
HigashiomiHigashiomi; Population = 117487; Area = 388.58; Founded = 2005-02-11
HigashiosakaHigashiosaka; Population = 509157; Area = 61.81; Founded = 1967-02-01
Higashiyamato; Population = 81445; Area = 13.54; Founded = 1970-10-01
Hikari; Population = 53274; Area = 91.94; Founded = 2004-10-04
Hikone; Population = 110945; Area = 196.84; Founded = 1937-02-11
Himeji; Population = 536170; Area = 534.27; Founded = 1889-04-01
Himi; Population = 53316; Area = 230.47; Founded = 1952-08-01
Hino; Population = 179482; Area = 27.53; Founded = 1963-11-03
Hioki; Population = 51472; Area = 253.06; Founded = 2005-05-01
Hirado; Population = 36785; Area = 235.63; Founded = 2005-10-01
Hirakata; Population = 406201; Area = 65.08; Founded = 1947-08-01
Hirakawa; Population = 34638; Area = 345.81; Founded = 2006-01-01
Hiratsuka; Population = 260419; Area = 67.83; Founded = 1932-04-01
Hirosaki; Population = 185865; Area = 523.6; Founded = 2006-02-27
Hiroshima; Population = 1163806; Area = 905.13; Founded = 1889-04-01
Hita; Population = 72601; Area = 666.19; Founded = 1940-12-11
Hitachi; Population = 195844; Area = 225.55; Founded = 1939-09-01
Hitachinaka; Population = 155338; Area = 99.04; Founded = 1994-11-01
HitachiomiyaHitachiomiya; Population = 46729; Area = 348.38; Founded = 2004-10-16
HitachiotaHitachiota; Population = 58461; Area = 372.01; Founded = 1954-07-15
Hitoyoshi; Population = 36556; Area = 210.55; Founded = 1942-02-11
HofuHofu; Population = 116393; Area = 188.59; Founded = 1936-08-25
Hokota; Population = 50869; Area = 203.9; Founded = 2005-10-11
Hokuto, Hokkaido; Population = 48779; Area = 397.3; Founded = 2006-02-01
Hokuto, Yamanashi; Population = 47754; Area = 602.89; Founded = 2004-11-01
HonjoHonjo; Population = 81805; Area = 89.71; Founded = 2006-01-10
HyugaHyuga; Population = 63066; Area = 336.29; Founded = 1951-04-01
Ibara; Population = 44423; Area = 243.36; Founded = 1953-04-01
Ibaraki; Population = 272240; Area = 76.52; Founded = 1948-01-01
Ibusuki; Population = 45455; Area = 149.01; Founded = 1954-04-01
Ichihara; Population = 279591; Area = 368.2; Founded = 1963-05-01
Ichikawa; Population = 470149; Area = 57.4; Founded = 1934-11-03
Ichikikushikino; Population = 32079; Area = 112.04; Founded = 2005-10-11
Ichinomiya; Population = 375939; Area = 113.91; Founded = 1921-09-01
Ichinoseki; Population = 123155; Area = 1133.1; Founded = 2005-09-20
Iga; Population = 99662; Area = 558.17; Founded = 2004-11-01
Iida; Population = 107129; Area = 658.76; Founded = 1956-09-30
Iiyama; Population = 24155; Area = 202.32; Founded = 1954-08-01
Iizuka; Population = 132208; Area = 214.13; Founded = 2006-03-26
Ikeda; Population = 104426; Area = 22.09; Founded = 1939-04-29
Iki; Population = 30352; Area = 138.5; Founded = 2004-03-01
Ikoma; Population = 115359; Area = 53.18; Founded = 1971-11-01
Imabari; Population = 170986; Area = 419.85; Founded = 2005-01-16
Imari; Population = 57604; Area = 254.99; Founded = 1954-04-01
Imizu; Population = 94691; Area = 109.18; Founded = 2005-11-01
Ina; Population = 71937; Area = 667.81; Founded = 2006-03-31
Inabe; Population = 46676; Area = 219.58; Founded = 2003-12-01
Inagi; Population = 80772; Area = 17.97; Founded = 1971-11-01
Inashiki; Population = 48125; Area = 178.12; Founded = 2005-03-22
Inazawa; Population = 137475; Area = 79.3; Founded = 1958-11-01
Inuyama; Population = 75304; Area = 74.97; Founded = 1954-04-01
Inzai; Population = 60280; Area = 53.51; Founded = 1996-04-01
Iruma; Population = 148203; Area = 44.74; Founded = 1966-11-01
Isa; Population = -; Area = 392.36; Founded = 2008-11-01
Isahaya; Population = 142635; Area = 312.24; Founded = 2005-03-01
Ise; Population = 133547; Area = 208.53; Founded = 2005-11-01
Isehara; Population = 100779; Area = 55.52; Founded = 1971-03-01
Isesaki; Population = 204240; Area = 139.33; Founded = 1940-09-13
Ishigaki; Population = 46489; Area = 229; Founded = 1947-07-10
Ishikari; Population = 60616; Area = 721.86; Founded = 1996-09-01
Ishinomaki; Population = 163840; Area = 555.77; Founded = 1933-04-01
Ishioka; Population = 80502; Area = 213.38; Founded = 2005-10-01
Isumi; Population = 41605; Area = 157.5; Founded = 2005-12-05
Itako; Population = 31103; Area = 62.67; Founded = 2001-04-01
Itami; Population = 194488; Area = 24.97; Founded = 1940-11-10
Itoigawa; Population = 48653; Area = 746.24; Founded = 2005-03-19
ItoIto; Population = 72038; Area = 124.13; Founded = 1947-08-10
Itoman; Population = 56171; Area = 46.63; Founded = 1971-12-01
Itoshima; Population = -; Area = 216.12; Founded = 2010-01-01
Iwade; Population = 51843; Area = 38.5; Founded = 2006-04-01
Iwaki; Population = 349947; Area = 1231.34; Founded = 1966-10-01
Iwakuni; Population = 146885; Area = 872.71; Founded = 2006-03-20
Iwakura; Population = 48042; Area = 10.49; Founded = 1971-12-01
Iwamizawa; Population = 89023; Area = 481.1; Founded = 1943-04-01
Iwanuma; Population = 44595; Area = 60.72; Founded = 1971-11-01
Iwata; Population = 172583; Area = 164.08; Founded = 1948-04-01
Iyo; Population = 38890; Area = 194.47; Founded = 2005-04-01
Izu; Population = 35911; Area = 363.97; Founded = 2004-04-01
Izumi, Kagoshima; Population = 56851; Area = 330.06; Founded = 1954-04-01
Izumi, Osaka; Population = 179352; Area = 84.98; Founded = 1956-09-01
IzumiotsuIzumiotsu; Population = 78014; Area = 12.8; Founded = 1942-04-01
Izumisano; Population = 99636; Area = 55.03; Founded = 1948-04-01
Izumo; Population = 146115; Area = 543.48; Founded = 1941-11-03
Izunokuni; Population = 49711; Area = 94.71; Founded = 2005-04-01
JoetsuJoetsu; Population = 206175; Area = 973.32; Founded = 1971-04-29
JosoJoso; Population = 65858; Area = 123.52; Founded = 1954-07-10
JoyoJoyo; Population = 80795; Area = 32.74; Founded = 1972-05-03
Kadoma; Population = 130026; Area = 12.28; Founded = 1963-08-01
Kaga; Population = 73745; Area = 306; Founded = 2005-10-01
Kagoshima; Population = 605196; Area = 547.06; Founded = 1889-04-01
Kahoku; Population = 34747; Area = 64.76; Founded = 2004-03-01
Kai; Population = 74077; Area = 71.94; Founded = 2004-09-01
Kainan; Population = 55877; Area = 101.18; Founded = 1934-05-01
Kaizu; Population = 38532; Area = 112.31; Founded = 2005-03-28
